threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,edgesthetic.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,yolihomeloans.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,grizzlyshirts.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,takatalaw.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,vertnatureza.com.br
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,thecredithq.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,codybartels.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,ams3.digitaloceanspaces.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,rmconsults.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,sfo3.digitaloceanspaces.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,dayvidmarketingdireto.com.br
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,watpwomlr.ml
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,lagala56.mx
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,realtimedocument.tk
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,realtimedocument.tk
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,fabricamoney.com.br
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,sgp1.digitaloceanspaces.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,pifactorhumano.com.mx
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,415165a6.office365onlinemails.pages.dev
